PUMFID,Province_Name,PFWEIGHT,Tenure_Group,PDCT_05_Clean,Income_Quintile,PHHTTINC_Clean,PHTYPE,PMINOR,PHHSIZE_Clean,prob_housing_stress,Predicted_Housing_Stress,Risk_Band,Risk_Segment,Actual_Stress
63501,Prince Edward Island,14.4084,Renter,2.0,Q4,82500.0,2,2,2,0.0020150090211668538,0,Low,0,0
63502,British Columbia,773.8004,Owner (without mortgage),1.0,Q4,95000.0,2,2,2,0.0025786360467551423,0,Low,0,0
63503,Saskatchewan,22.1822,Owner (without mortgage),1.0,Q3,50000.0,99,9,,0.11632186951269206,0,Low,1,0
63504,Alberta,270.4394,Owner (without mortgage),1.0,Q5 Highest,170000.0,2,2,2,6.518954753551058e-06,0,Low,0,0
63505,Ontario,208.5023,Renter,2.0,Q3,57500.0,5,2,1,0.044172512696462767,0,Low,0,0
63506,Quebec,238.8162,Renter,2.0,Q4,87500.0,3,1,3,0.002043289869457434,0,Low,0,0
63507,Quebec,243.0896,Owner (with mortgage),1.0,Q4,125000.0,2,2,2,2.4471390981314998e-05,0,Low,0,0
63508,Ontario,847.8923,Owner (without mortgage),1.0,Q3,62500.0,2,2,2,0.03889455246258342,0,Low,0,0
63509,Manitoba,60.6721,Renter,2.0,Q2,30000.0,5,2,1,0.2869942077207751,0,Medium,0,0
63510,Nova Scotia,25.4559,Owner (without mortgage),1.0,Q1 Lowest,21000.0,5,2,1,0.4481881291198714,1,High,0,1
63511,Saskatchewan,543.4113,Owner (with mortgage),1.0,Q3,72500.0,3,1,3,0.030089622461777696,0,Low,0,0
63512,Saskatchewan,513.0464,Owner (with mortgage),1.0,Q4,115000.0,4,1,5,0.003121750363339986,0,Low,0,0
63514,Ontario,339.1923,Owner (without mortgage),1.0,Q4,125000.0,2,2,2,0.00015577661108649412,0,Low,0,0
63515,Ontario,79.0816,Renter,2.0,Q1 Lowest,24000.0,5,2,1,0.5830287919552666,1,High,0,0
63516,Manitoba,293.9706,Owner (with mortgage),1.0,Q5 Highest,180000.0,4,2,4,5.901880242371651e-06,0,Low,0,0
63517,Ontario,383.7785,Renter,2.0,Q4,97500.0,1,2,3,0.00562546796377482,0,Low,0,0
63518,British Columbia,15.051,Renter,2.0,Q1 Lowest,22000.0,5,2,1,0.6781644684792861,1,High,0,1
63519,Ontario,1825.8957,Renter,2.0,Q5 Highest,175000.0,1,1,5,5.078068998071871e-05,0,Low,0,0
