PDCT_05_Clean,PHHTTINC_Clean,PHTYPE,PMINOR,PHGEDUC,PEMPL,Province_Name,PSTIR_GR_Clean,prob_housing_stress,Predicted_Housing_Stress,True_Housing_Stress
2.0,95000.0,1,1,2,1,Quebec,1.0,0.0013704573003283113,0,0.0
1.0,230000.0,5,2,2,1,Quebec,1.0,6.679844384987234e-08,0,0.0
1.0,26000.0,2,2,2,2,Newfoundland and Labrador,2.0,0.2667024832263619,0,1.0
1.0,40000.0,2,2,3,2,Nova Scotia,1.0,0.16228933919146166,0,0.0
1.0,77500.0,3,2,6,1,British Columbia,2.0,0.024328492685691004,0,1.0
2.0,25000.0,5,2,3,2,Alberta,3.0,0.6330886501657271,1,1.0
1.0,67500.0,5,2,4,1,Nova Scotia,1.0,0.027711535481574172,0,0.0
2.0,24000.0,5,2,1,2,Quebec,2.0,0.17785473235303173,0,0.0
2.0,23000.0,5,2,4,2,Nova Scotia,2.0,0.515082769177372,1,1.0
2.0,140000.0,1,1,6,1,Ontario,1.0,0.0004076213177417119,0,0.0
1.0,92500.0,2,2,2,1,Quebec,1.0,0.0010440061965216764,0,0.0
2.0,82500.0,4,9,99,1,Saskatchewan,2.0,0.03184694027039745,0,0.0
2.0,25000.0,5,2,1,2,Quebec,1.0,0.16778503298482783,0,0.0
2.0,125000.0,2,2,3,1,Nova Scotia,1.0,0.000762781977360191,0,0.0
1.0,55000.0,5,2,5,2,Alberta,1.0,0.11679758525633711,0,0.0
2.0,77500.0,5,2,4,2,Newfoundland and Labrador,1.0,0.015832355021365527,0,0.0
2.0,13000.0,5,2,1,2,Quebec,1.0,0.3195325343677728,1,0.0
1.0,50000.0,2,2,5,2,Quebec,1.0,0.021145833050072765,0,0.0
2.0,75000.0,5,2,4,1,Nova Scotia,1.0,0.02611865527674208,0,0.0
1.0,35000.0,2,2,3,2,New Brunswick,1.0,0.1379453978533058,0,0.0
2.0,36000.0,5,2,1,2,Quebec,1.0,0.08498728764117823,0,0.0
